日期,品牌,车型,销售数量,单价(万元),销售额(万元),省份,城市,经销商
2025-01-01,丰田,汉兰达,10,13.8,138.0,浙江,温州,温州丰田4S店
2025-01-01,宝马,5系,6,54.2,325.2,安徽,合肥,合肥宝马4S店
2025-01-01,比亚迪,海豚,7,18.8,131.6,广东,佛山,佛山比亚迪4S店
2025-01-02,比亚迪,唐,2,11.8,23.6,陕西,西安,西安比亚迪4S店
2025-01-03,吉利,博越,8,12.1,96.8,四川,成都,成都吉利4S店
2025-01-06,比亚迪,海豹,3,26.3,78.9,山东,青岛,青岛比亚迪4S店
2025-01-07,理想,L8,2,46.4,92.8,河南,洛阳,洛阳理想4S店
2025-01-07,丰田,卡罗拉,7,22.9,160.3,重庆,重庆市,重庆市丰田4S店
2025-01-07,蔚来,ES6,6,59.3,355.8,湖北,武汉,武汉蔚来4S店
2025-01-07,吉利,帝豪,3,8.3,24.9,北京,北京市,北京市吉利4S店
2025-01-07,蔚来,EC6,8,36.1,288.8,陕西,西安,西安蔚来4S店
2025-01-07,奥迪,Q3,9,50.7,456.3,河北,石家庄,石家庄奥迪4S店
2025-01-07,本田,飞度,6,15.7,94.2,湖北,武汉,武汉本田4S店
2025-01-08,蔚来,ES6,3,42.3,126.9,上海,上海市,上海市蔚来4S店
2025-01-08,本田,雅阁,1,10.6,10.6,河北,唐山,唐山本田4S店
2025-01-08,本田,飞度,4,13.3,53.2,河北,石家庄,石家庄本田4S店
2025-01-09,宝马,3系,2,40.3,80.6,河北,唐山,唐山宝马4S店
2025-01-09,吉利,星瑞,5,13.4,67.0,北京,北京市,北京市吉利4S店
2025-01-09,丰田,汉兰达,10,31.0,310.0,上海,上海市,上海市丰田4S店
2025-01-10,理想,L9,10,42.6,426.0,湖南,株洲,株洲理想4S店
2025-01-11,长安,逸动,1,15.1,15.1,上海,上海市,上海市长安4S店
2025-01-11,蔚来,ET7,3,40.7,122.1,江苏,南京,南京蔚来4S店
2025-01-12,本田,飞度,9,20.1,180.9,河南,洛阳,洛阳本田4S店
2025-01-12,特斯拉,Model 3,8,56.6,452.8,河北,石家庄,石家庄特斯拉4S店
2025-01-12,丰田,卡罗拉,10,14.9,149.0,广东,深圳,深圳丰田4S店
2025-01-13,奥迪,Q5L,2,26.1,52.2,北京,北京市,北京市奥迪4S店
2025-01-14,小鹏,G6,2,30.5,61.0,上海,上海市,上海市小鹏4S店
2025-01-15,奔驰,GLC,7,56.8,397.6,安徽,合肥,合肥奔驰4S店
2025-01-15,比亚迪,唐,6,17.1,102.6,陕西,西安,西安比亚迪4S店
2025-01-16,丰田,凯美瑞,10,31.3,313.0,广东,深圳,深圳丰田4S店
2025-01-16,宝马,X5,2,38.2,76.4,江苏,无锡,无锡宝马4S店
2025-01-16,特斯拉,Model Y,8,29.0,232.0,四川,成都,成都特斯拉4S店
2025-01-17,比亚迪,秦PLUS,9,14.4,129.6,湖南,长沙,长沙比亚迪4S店
2025-01-17,丰田,RAV4,8,28.3,226.4,上海,上海市,上海市丰田4S店
2025-01-17,蔚来,EC6,8,36.5,292.0,浙江,宁波,宁波蔚来4S店
2025-01-17,长安,UNI-K,9,15.9,143.1,湖南,株洲,株洲长安4S店
2025-01-18,大众,朗逸,6,13.5,81.0,山东,青岛,青岛大众4S店
2025-01-18,小鹏,G9,4,30.2,120.8,湖南,长沙,长沙小鹏4S店
2025-01-19,本田,雅阁,4,10.7,42.8,重庆,重庆市,重庆市本田4S店
2025-01-19,小鹏,G9,6,23.8,142.8,陕西,西安,西安小鹏4S店
2025-01-19,理想,L8,3,45.8,137.4,重庆,重庆市,重庆市理想4S店
2025-01-19,蔚来,EC6,10,51.8,518.0,江苏,南京,南京蔚来4S店
2025-01-20,比亚迪,汉,2,21.4,42.8,重庆,重庆市,重庆市比亚迪4S店
2025-01-20,大众,途观,10,16.0,160.0,湖南,株洲,株洲大众4S店
2025-01-20,奔驰,GLC,1,57.6,57.6,安徽,芜湖,芜湖奔驰4S店
2025-01-21,宝马,5系,2,50.5,101.0,山东,烟台,烟台宝马4S店
2025-01-22,理想,L7,10,31.6,316.0,江苏,无锡,无锡理想4S店
2025-01-22,长城,哈弗H6,6,20.4,122.4,河南,洛阳,洛阳长城4S店
2025-01-23,蔚来,ET7,7,46.1,322.7,上海,上海市,上海市蔚来4S店
2025-01-23,蔚来,ET7,9,30.1,270.9,福建,福州,福州蔚来4S店
2025-01-24,丰田,汉兰达,2,26.1,52.2,四川,绵阳,绵阳丰田4S店
2025-01-24,比亚迪,海豹,3,15.8,47.4,福建,厦门,厦门比亚迪4S店
2025-01-24,长安,逸动,1,16.9,16.9,江苏,无锡,无锡长安4S店
2025-01-24,特斯拉,Model S,9,57.4,516.6,湖南,长沙,长沙特斯拉4S店
2025-01-26,长城,炮,2,26.7,53.4,重庆,重庆市,重庆市长城4S店
