日期,品牌,产品类别,产品型号,销售数量,单价(元),销售额(元),省份,城市,销售渠道,经销商
2025-01-01,小米,手机,Xiaomi 13T,1,3544,3544,福建,厦门,京东,京东平台
2025-01-01,苹果,手机,iPhone 15,5,8235,41175,广东,佛山,电器城,佛山苹果专卖店
2025-01-02,联想,笔记本,小新Pro 16,3,5463,16389,四川,宜宾,天猫,天猫平台
2025-01-02,华为,手机,Mate 60,6,6611,39666,福建,厦门,品牌官网,品牌官网平台
2025-01-02,vivo,耳机,TWS Air,13,299,3887,山东,烟台,电器城,烟台vivo专卖店
2025-01-02,三星,手机,Galaxy A55,15,3175,47625,四川,绵阳,电器城,绵阳三星专卖店
2025-01-03,索尼,耳机,LinkBuds S,10,1099,10990,上海,上海市,拼多多,拼多多平台
2025-01-03,索尼,耳机,WF-1000XM5,11,1599,17589,湖北,宜昌,品牌官网,品牌官网平台
2025-01-03,OPPO,耳机,Enco Air3,3,384,1152,四川,绵阳,品牌官网,品牌官网平台
2025-01-03,小米,平板,Redmi Pad,3,1531,4593,河南,新乡,京东,京东平台
2025-01-03,vivo,耳机,TWS Air,15,231,3465,河北,唐山,品牌官网,品牌官网平台
2025-01-04,苹果,平板,iPad Pro 11,6,6850,41100,江苏,无锡,品牌官网,品牌官网平台
2025-01-04,三星,手机,Galaxy Z Flip5,6,8308,49848,北京,北京市,天猫,天猫平台
2025-01-05,联想,笔记本,拯救者Y9000P,12,10244,122928,湖南,衡阳,天猫,天猫平台
2025-01-05,华为,手表,Watch GT 4,3,1980,5940,上海,上海市,天猫,天猫平台
2025-01-05,华为,手表,Watch Ultimate,15,6508,97620,四川,成都,拼多多,拼多多平台
2025-01-05,vivo,手机,S18,9,3201,28809,广东,佛山,天猫,天猫平台
2025-01-06,华为,手表,Watch GT 4,4,1524,6096,北京,北京市,拼多多,拼多多平台
2025-01-07,vivo,耳机,TWS 3,8,583,4664,四川,绵阳,拼多多,拼多多平台
2025-01-07,OPPO,耳机,Enco X2,5,976,4880,湖北,襄阳,拼多多,拼多多平台
2025-01-07,惠普,笔记本,Spectre x360,9,12361,111249,辽宁,沈阳,线下专卖店,沈阳电器城
2025-01-07,OPPO,手机,A3,5,1880,9400,陕西,西安,京东,京东平台
2025-01-08,联想,平板,小新Pad Pro,11,3243,35673,辽宁,大连,京东,京东平台
2025-01-08,荣耀,手机,90 GT,10,2902,29020,福建,福州,拼多多,拼多多平台
2025-01-08,索尼,耳机,WF-1000XM5,12,1599,19188,河南,新乡,京东,京东平台
2025-01-09,戴尔,笔记本,Alienware m16,6,18186,109116,山东,潍坊,线下专卖店,潍坊戴尔专卖店
2025-01-09,三星,手表,Galaxy Watch 6,10,2639,26390,安徽,合肥,电器城,合肥电器城
2025-01-09,联想,平板,Yoga Tab 13,15,4752,71280,辽宁,大连,线下专卖店,大连电器城
2025-01-10,索尼,手机,Xperia 5 V,3,6051,18153,重庆,重庆市,线下专卖店,重庆市电器城
2025-01-10,小米,耳机,Xiaomi Buds 3,3,662,1986,广东,东莞,京东,京东平台
2025-01-10,荣耀,笔记本,MagicBook Pro 16,3,7495,22485,四川,成都,天猫,天猫平台
2025-01-10,惠普,笔记本,暗影精灵9,1,8620,8620,浙江,嘉兴,电器城,嘉兴惠普专卖店
2025-01-11,惠普,笔记本,暗影精灵9,3,8703,26109,广东,珠海,线下专卖店,珠海惠普专卖店
2025-01-11,联想,笔记本,拯救者Y9000P,6,9128,54768,江苏,南京,品牌官网,品牌官网平台
2025-01-11,OPPO,手机,Reno 11,7,3697,25879,北京,北京市,拼多多,拼多多平台
2025-01-11,vivo,耳机,TWS 3,14,590,8260,河北,石家庄,天猫,天猫平台
2025-01-12,OPPO,手表,Watch 4 Pro,12,2276,27312,浙江,嘉兴,线下专卖店,嘉兴OPPO专卖店
2025-01-12,荣耀,手表,Watch 4,15,1175,17625,上海,上海市,线下专卖店,上海市荣耀专卖店
2025-01-12,联想,笔记本,拯救者Y9000P,1,12890,12890,山东,烟台,品牌官网,品牌官网平台
2025-01-13,三星,耳机,Buds FE,4,699,2796,北京,北京市,拼多多,拼多多平台
2025-01-13,OPPO,手表,Watch 4 Pro,11,2342,25762,浙江,温州,拼多多,拼多多平台
2025-01-14,三星,手表,Galaxy Watch 6,13,2300,29900,山东,济南,品牌官网,品牌官网平台
2025-01-14,三星,平板,Tab A9,8,2910,23280,辽宁,沈阳,品牌官网,品牌官网平台
2025-01-15,索尼,耳机,WH-1000XM5,10,1999,19990,上海,上海市,拼多多,拼多多平台
2025-01-16,三星,手机,Galaxy A55,7,3373,23611,浙江,宁波,电器城,宁波电器城
2025-01-16,联想,笔记本,ThinkPad X1 Carbon,10,11324,113240,湖南,衡阳,品牌官网,品牌官网平台
2025-01-16,三星,耳机,Galaxy Buds2 Pro,3,1299,3897,北京,北京市,京东,京东平台
2025-01-17,苹果,平板,iPad Air,6,5621,33726,四川,宜宾,京东,京东平台
2025-01-17,华为,手机,P60 Pro,2,6112,12224,浙江,宁波,电器城,宁波电器城
2025-01-17,vivo,耳机,TWS Air,7,292,2044,重庆,重庆市,拼多多,拼多多平台
2025-01-17,荣耀,手机,X50,15,1748,26220,上海,上海市,京东,京东平台
2025-01-18,联想,平板,小新Pad Pro,8,3110,24880,湖南,常德,拼多多,拼多多平台
2025-01-19,联想,平板,小新Pad Pro,3,2786,8358,北京,北京市,线下专卖店,北京市电器城
2025-01-19,三星,平板,Galaxy Tab S9,1,6007,6007,广东,东莞,电器城,东莞电器城
2025-01-20,戴尔,显示器,S2721QS,2,2710,5420,山东,烟台,天猫,天猫平台
2025-01-20,联想,平板,小新Pad Pro,1,3210,3210,广东,珠海,天猫,天猫平台
2025-01-20,惠普,显示器,X27q,4,1931,7724,湖北,襄阳,线下专卖店,襄阳惠普专卖店
2025-01-20,惠普,显示器,E27u G5,13,2751,35763,湖北,襄阳,天猫,天猫平台
2025-01-21,小米,手表,Xiaomi Watch S3,3,1236,3708,安徽,合肥,线下专卖店,合肥小米专卖店
2025-01-21,OPPO,手机,A3,5,1813,9065,陕西,西安,天猫,天猫平台
2025-01-21,联想,笔记本,拯救者Y9000P,9,10622,95598,湖北,襄阳,拼多多,拼多多平台
2025-01-21,荣耀,平板,Pad 9,8,2670,21360,湖北,襄阳,电器城,襄阳荣耀专卖店
2025-01-22,惠普,显示器,E27u G5,13,2398,31174,河南,郑州,电器城,郑州电器城
2025-01-22,小米,笔记本,RedmiBook Pro 15,8,6341,50728,上海,上海市,京东,京东平台
2025-01-22,索尼,耳机,WF-1000XM5,9,1599,14391,重庆,重庆市,拼多多,拼多多平台
2025-01-23,vivo,手机,S18,10,2788,27880,山东,青岛,京东,京东平台
2025-01-23,三星,耳机,Buds FE,11,699,7689,湖南,株洲,天猫,天猫平台
2025-01-23,小米,手表,Xiaomi Watch S3,15,1163,17445,山东,烟台,线下专卖店,烟台小米专卖店
2025-01-24,vivo,耳机,TWS 3,8,684,5472,浙江,嘉兴,品牌官网,品牌官网平台
2025-01-24,三星,耳机,Galaxy Buds2 Pro,11,1299,14289,上海,上海市,京东,京东平台
2025-01-25,三星,手表,Galaxy Watch 6,2,2723,5446,重庆,重庆市,京东,京东平台
2025-01-25,华为,笔记本,MateBook 14,13,6627,86151,辽宁,大连,电器城,大连华为专卖店
2025-01-25,OPPO,耳机,Enco X2,13,911,11843,陕西,宝鸡,电器城,宝鸡OPPO专卖店
2025-01-26,OPPO,手机,Find X7 Ultra,3,7330,21990,广东,深圳,京东,京东平台
2025-01-26,三星,手表,Galaxy Watch 6,5,2544,12720,福建,泉州,电器城,泉州三星专卖店
2025-01-27,苹果,平板,iPad Pro 11,12,8282,99384,山东,潍坊,电器城,潍坊苹果专卖店
2025-01-28,索尼,手机,Xperia 1 V,8,9940,79520,河南,郑州,京东,京东平台
2025-01-28,荣耀,手机,X50,3,1699,5097,江苏,苏州,品牌官网,品牌官网平台
2025-01-28,索尼,耳机,WH-1000XM5,8,1999,15992,上海,上海市,拼多多,拼多多平台
2025-01-28,三星,平板,Tab A9,5,2524,12620,北京,北京市,拼多多,拼多多平台
2025-01-28,小米,手表,Redmi Watch 4,6,734,4404,安徽,蚌埠,天猫,天猫平台
2025-01-29,vivo,手机,S18,13,3081,40053,湖北,宜昌,拼多多,拼多多平台
2025-01-29,小米,平板,Redmi Pad,12,1057,12684,上海,上海市,天猫,天猫平台
2025-01-29,索尼,手机,Xperia 5 V,12,6456,77472,陕西,宝鸡,拼多多,拼多多平台
2025-01-29,华为,手机,P60 Pro,4,7253,29012,浙江,杭州,天猫,天猫平台
2025-01-29,vivo,手机,Y100,12,1748,20976,广东,深圳,品牌官网,品牌官网平台
2025-01-29,vivo,耳机,TWS Air,12,292,3504,湖南,常德,京东,京东平台
2025-01-29,联想,笔记本,小新Pro 16,15,5335,80025,广东,深圳,电器城,深圳联想专卖店
2025-01-29,索尼,耳机,WF-1000XM5,8,1599,12792,山东,济南,电器城,济南索尼专卖店
2025-01-31,苹果,笔记本,MacBook Pro 14,8,14594,116752,北京,北京市,电器城,北京市电器城
2025-02-01,vivo,耳机,TWS 3,3,673,2019,湖北,武汉,天猫,天猫平台
2025-02-02,苹果,耳机,AirPods 3,9,1399,12591,辽宁,大连,线下专卖店,大连苹果专卖店
2025-02-02,苹果,耳机,AirPods 3,2,1399,2798,河南,新乡,电器城,新乡苹果专卖店
2025-02-03,惠普,显示器,E27u G5,13,2034,26442,河南,洛阳,京东,京东平台
2025-02-03,三星,手机,Galaxy S24,8,7637,61096,上海,上海市,天猫,天猫平台
2025-02-04,索尼,手机,Xperia 1 V,9,8542,76878,北京,北京市,天猫,天猫平台
2025-02-04,戴尔,显示器,S2721QS,9,2492,22428,湖南,长沙,京东,京东平台
2025-02-04,小米,手机,Xiaomi 13T,5,3082,15410,江苏,苏州,京东,京东平台
